Номер;Дата;Время;Схема;Широта;Номер ДТП;Вид ДТП;Адрес;Дорога;Значение дороги;Категория дороги;Категория улицы;Объекты УДС на месте ДТП;Объекты УДС на месте ДТП;Объекты УДС вблизи места ДТП;Объекты УДС вблизи места ДТП;Недостатки транспортно-эксплуатационного содержания улично-дорожной сети;Недостатки транспортно-эксплуатационного содержания улично-дорожной сети;Недостатки транспортно-эксплуатационного содержания улично-дорожной сети;Факторы, оказывающие влияние на режим движения;Факторы, оказывающие влияние на режим движения;Состояние погоды;Состояние погоды;Состояние проезжей части;Освещение;Изменения в режиме движения;Количество ТС;Число участников;Число погибших;Число раненых;Номер Тс;Сведения об оставлении места ДТП;Расположение руля, тип привода;Тип ТС;Год выпуска;Марка/модель ТС;Форма собственности;Цвет;Места повреждения;Технические неисправности;
1;30.06.2020;15:00;060;61.520026;55.134218;750019690;Наезд на велосипедиста;Ленинский(Ч) район;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Жилые дома индивидуальной застройки;;Перегон (нет объектов на месте ДТП);;Отсутствие, плохая различимость горизонтальной разметки проезжей части;;;Сведения отсутствуют;;Ясно;;Сухое;Светлое время суток;Движение частично перекрыто;
1;30.06.2020;15:00;060;61.520026;55.134218;750019690;Наезд на велосипедиста;Ленинский(Ч) район;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Жилые дома индивидуальной застройки;;Перегон (нет объектов на месте ДТП);;Отсутствие, плохая различимость горизонтальной разметки проезжей части;;;Сведения отсутствуют;;Ясно;;Сухое;Светлое время суток;Движение частично перекрыто;
1;30.06.2020;15:00;060;61.520026;55.134218;750019690;Наезд на велосипедиста;Ленинский(Ч) район;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Жилые дома индивидуальной застройки;;Перегон (нет объектов на месте ДТП);;Отсутствие, плохая различимость горизонтальной разметки проезжей части;;;Сведения отсутствуют;;Ясно;;Сухое;Светлое время суток;Движение частично перекрыто;
;1;Осталось на месте ДТП;С задним приводом;Бортовые грузовые автомобили;2009;ГАЗ 3302, 33027 и модификации;Физические лица;;Технические неисправности отсутствуют;
;1;1;1;30.06.2020;15:00;060;61.520026;55.134218;750019690;Наезд на велосипедиста;Ленинский(Ч) район;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Жилые дома индивидуальной застройки;;Перегон (нет объектов на месте ДТП);;Отсутствие, плохая различимость горизонтальной разметки проезжей части;;;Сведения отсутствуют;;Ясно;;Сухое;Светлое время суток;Движение частично перекрыто;
;1;Осталось на месте ДТП;С задним приводом;Бортовые грузовые автомобили;2009;ГАЗ 3302, 33027 и модификации;Физические лица;;Технические неисправности отсутствуют;
;2;Осталось на месте ДТП;Иное расположение рулевого управления;Велосипеды;;Прочие марки ТС Прочие марки и модели ТС;Физические лица;;Технические неисправности отсутствуют;
2;30.06.2020;21:35;210;61.634663;54.041279;750019756;Столкновение;Троицкий городской округ;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Административные здания;Нерегулируемый пешеходный переход;Объект строительства;Перегон (нет объектов на месте ДТП);;Не установлены;;;Сведения отсутствуют;;Пасмурно;;Мокрое;Светлое время суток;Движение частично перекрыто;
2;30.06.2020;21:35;210;61.634663;54.041279;750019756;Столкновение;Троицкий городской округ;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Административные здания;Нерегулируемый пешеходный переход;Объект строительства;Перегон (нет объектов на месте ДТП);;Не установлены;;;Сведения отсутствуют;;Пасмурно;;Мокрое;Светлое время суток;Движение частично перекрыто;
;1;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2004;ВАЗ  Жигули  ВАЗ-2108, 09 и модификации                       ;Физические лица;;Технические неисправности отсутствуют;
;3;3;2;30.06.2020;21:35;210;61.634663;54.041279;750019756;Столкновение;Троицкий городской округ;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Административные здания;Нерегулируемый пешеходный переход;Объект строительства;Перегон (нет объектов на месте ДТП);;Не установлены;;;Сведения отсутствуют;;Пасмурно;;Мокрое;Светлое время суток;Движение частично перекрыто;
;1;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2004;ВАЗ  Жигули  ВАЗ-2108, 09 и модификации                       ;Физические лица;;Технические неисправности отсутствуют;
;1;1;2;30.06.2020;21:35;210;61.634663;54.041279;750019756;Столкновение;Троицкий городской округ;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Административные здания;Нерегулируемый пешеходный переход;Объект строительства;Перегон (нет объектов на месте ДТП);;Не установлены;;;Сведения отсутствуют;;Пасмурно;;Мокрое;Светлое время суток;Движение частично перекрыто;
;1;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2004;ВАЗ  Жигули  ВАЗ-2108, 09 и модификации                       ;Физические лица;;Технические неисправности отсутствуют;
2;30.06.2020;21:35;210;61.634663;54.041279;750019756;Столкновение;Троицкий городской округ;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Административные здания;Нерегулируемый пешеходный переход;Объект строительства;Перегон (нет объектов на месте ДТП);;Не установлены;;;Сведения отсутствуют;;Пасмурно;;Мокрое;Светлое время суток;Движение частично перекрыто;
2;30.06.2020;21:35;210;61.634663;54.041279;750019756;Столкновение;Троицкий городской округ;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Административные здания;Нерегулируемый пешеходный переход;Объект строительства;Перегон (нет объектов на месте ДТП);;Не установлены;;;Сведения отсутствуют;;Пасмурно;;Мокрое;Светлое время суток;Движение частично перекрыто;
;1;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2004;ВАЗ  Жигули  ВАЗ-2108, 09 и модификации                       ;Физические лица;;Технические неисправности отсутствуют;
;3;3;2;30.06.2020;21:35;210;61.634663;54.041279;750019756;Столкновение;Троицкий городской округ;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Административные здания;Нерегулируемый пешеходный переход;Объект строительства;Перегон (нет объектов на месте ДТП);;Не установлены;;;Сведения отсутствуют;;Пасмурно;;Мокрое;Светлое время суток;Движение частично перекрыто;
;1;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2004;ВАЗ  Жигули  ВАЗ-2108, 09 и модификации                       ;Физические лица;;Технические неисправности отсутствуют;
;1;1;2;30.06.2020;21:35;210;61.634663;54.041279;750019756;Столкновение;Троицкий городской округ;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Административные здания;Нерегулируемый пешеходный переход;Объект строительства;Перегон (нет объектов на месте ДТП);;Не установлены;;;Сведения отсутствуют;;Пасмурно;;Мокрое;Светлое время суток;Движение частично перекрыто;
;1;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2004;ВАЗ  Жигули  ВАЗ-2108, 09 и модификации                       ;Физические лица;;Технические неисправности отсутствуют;
;2;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2019;Datsun on-DO;Физические лица;;Технические неисправности отсутствуют;
;2;2;2;30.06.2020;21:35;210;61.634663;54.041279;750019756;Столкновение;Троицкий городской округ;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Административные здания;Нерегулируемый пешеходный переход;Объект строительства;Перегон (нет объектов на месте ДТП);;Не установлены;;;Сведения отсутствуют;;Пасмурно;;Мокрое;Светлое время суток;Движение частично перекрыто;
2;30.06.2020;21:35;210;61.634663;54.041279;750019756;Столкновение;Троицкий городской округ;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Административные здания;Нерегулируемый пешеходный переход;Объект строительства;Перегон (нет объектов на месте ДТП);;Не установлены;;;Сведения отсутствуют;;Пасмурно;;Мокрое;Светлое время суток;Движение частично перекрыто;
;1;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2004;ВАЗ  Жигули  ВАЗ-2108, 09 и модификации                       ;Физические лица;;Технические неисправности отсутствуют;
;3;3;2;30.06.2020;21:35;210;61.634663;54.041279;750019756;Столкновение;Троицкий городской округ;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Административные здания;Нерегулируемый пешеходный переход;Объект строительства;Перегон (нет объектов на месте ДТП);;Не установлены;;;Сведения отсутствуют;;Пасмурно;;Мокрое;Светлое время суток;Движение частично перекрыто;
;1;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2004;ВАЗ  Жигули  ВАЗ-2108, 09 и модификации                       ;Физические лица;;Технические неисправности отсутствуют;
;1;1;2;30.06.2020;21:35;210;61.634663;54.041279;750019756;Столкновение;Троицкий городской округ;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Административные здания;Нерегулируемый пешеходный переход;Объект строительства;Перегон (нет объектов на месте ДТП);;Не установлены;;;Сведения отсутствуют;;Пасмурно;;Мокрое;Светлое время суток;Движение частично перекрыто;
;1;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2004;ВАЗ  Жигули  ВАЗ-2108, 09 и модификации                       ;Физические лица;;Технические неисправности отсутствуют;
;2;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2019;Datsun on-DO;Физические лица;;Технические неисправности отсутствуют;
3;30.06.2020;15:12;820;60.539786;55.710812;750019687;Наезд на пешехода;Кыштымский городской округ;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Административные здания;Нерегулируемый пешеходный переход;Многоквартирные жилые дома;Одиночный торговый объект, являющийся местом притяжения транспорта и (или) пешеходов;Перегон (нет объектов на месте ДТП);;Не установлены;;;Сведения отсутствуют;;Дождь;;Мокрое;Светлое время суток;Режим движения не изменялся;
3;30.06.2020;15:12;820;60.539786;55.710812;750019687;Наезд на пешехода;Кыштымский городской округ;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Административные здания;Нерегулируемый пешеходный переход;Многоквартирные жилые дома;Одиночный торговый объект, являющийся местом притяжения транспорта и (или) пешеходов;Перегон (нет объектов на месте ДТП);;Не установлены;;;Сведения отсутствуют;;Дождь;;Мокрое;Светлое время суток;Режим движения не изменялся;
;1;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2005;HYUNDAI Accent;Физические лица;;Технические неисправности отсутствуют;
;1;1;3;30.06.2020;15:12;820;60.539786;55.710812;750019687;Наезд на пешехода;Кыштымский городской округ;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Административные здания;Нерегулируемый пешеходный переход;Многоквартирные жилые дома;Одиночный торговый объект, являющийся местом притяжения транспорта и (или) пешеходов;Перегон (нет объектов на месте ДТП);;Не установлены;;;Сведения отсутствуют;;Дождь;;Мокрое;Светлое время суток;Режим движения не изменялся;
;1;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2005;HYUNDAI Accent;Физические лица;;Технические неисправности отсутствуют;
4;30.06.2020;16:45;820;61.417276;55.237209;750019703;Наезд на пешехода;Металлургический район;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Регулируемый пешеходный переход;Регулируемый перекрёсток;Жилые дома индивидуальной застройки;Выезд с прилегающей территории;;Не установлены;;;Сведения отсутствуют;;Ясно;;Сухое;Светлое время суток;Движение частично перекрыто;
4;30.06.2020;16:45;820;61.417276;55.237209;750019703;Наезд на пешехода;Металлургический район;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Регулируемый пешеходный переход;Регулируемый перекрёсток;Жилые дома индивидуальной застройки;Выезд с прилегающей территории;;Не установлены;;;Сведения отсутствуют;;Ясно;;Сухое;Светлое время суток;Движение частично перекрыто;
;1;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2006;FORD Focus;Физические лица;;Технические неисправности отсутствуют;
;1;1;4;30.06.2020;16:45;820;61.417276;55.237209;750019703;Наезд на пешехода;Металлургический район;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Регулируемый пешеходный переход;Регулируемый перекрёсток;Жилые дома индивидуальной застройки;Выезд с прилегающей территории;;Не установлены;;;Сведения отсутствуют;;Ясно;;Сухое;Светлое время суток;Движение частично перекрыто;
;1;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2006;FORD Focus;Физические лица;;Технические неисправности отсутствуют;
5;30.06.2020;20:00;830;61.303797;55.208459;750019740;Наезд на пешехода;Курчатовский район;;Не указано;;Иные места;Автостоянка (отделенная от проезжей части);Многоквартирные жилые дома;Одиночный торговый объект, являющийся местом притяжения транспорта и (или) пешеходов;Внутридворовая территория;;Не установлены;;;Сведения отсутствуют;;Ясно;;Сухое;Светлое время суток;Движение частично перекрыто;
5;30.06.2020;20:00;830;61.303797;55.208459;750019740;Наезд на пешехода;Курчатовский район;;Не указано;;Иные места;Автостоянка (отделенная от проезжей части);Многоквартирные жилые дома;Одиночный торговый объект, являющийся местом притяжения транспорта и (или) пешеходов;Внутридворовая территория;;Не установлены;;;Сведения отсутствуют;;Ясно;;Сухое;Светлое время суток;Движение частично перекрыто;
;1;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2015;FORD Fiesta;Физические лица;;Технические неисправности отсутствуют;
;1;1;5;30.06.2020;20:00;830;61.303797;55.208459;750019740;Наезд на пешехода;Курчатовский район;;Не указано;;Иные места;Автостоянка (отделенная от проезжей части);Многоквартирные жилые дома;Одиночный торговый объект, являющийся местом притяжения транспорта и (или) пешеходов;Внутридворовая территория;;Не установлены;;;Сведения отсутствуют;;Ясно;;Сухое;Светлое время суток;Движение частично перекрыто;
;1;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2015;FORD Fiesta;Физические лица;;Технические неисправности отсутствуют;
6;30.06.2020;21:10;740;58.9783;53.39395;750019746;Наезд на пешехода;Правобережный район;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Магистральные улицы общегородского значения;Остановка общественного транспорта;Остановка трамвая;Многоквартирные жилые дома;Одиночный торговый объект, являющийся местом притяжения транспорта и (или) пешеходов;Регулируемый пешеходный переход;;Не установлены;;;Сведения отсутствуют;;Ясно;;Сухое;Сумерки;Движение частично перекрыто;
6;30.06.2020;21:10;740;58.9783;53.39395;750019746;Наезд на пешехода;Правобережный район;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Магистральные улицы общегородского значения;Остановка общественного транспорта;Остановка трамвая;Многоквартирные жилые дома;Одиночный торговый объект, являющийся местом притяжения транспорта и (или) пешеходов;Регулируемый пешеходный переход;;Не установлены;;;Сведения отсутствуют;;Ясно;;Сухое;Сумерки;Движение частично перекрыто;
;1;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;1997;DAEWOO Espero;Физические лица;;Наличие конструктивных изменений по сравнению с серийным ТС, сведения о которых отсутствуют в регистрационных документах;
;1;1;6;30.06.2020;21:10;740;58.9783;53.39395;750019746;Наезд на пешехода;Правобережный район;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Магистральные улицы общегородского значения;Остановка общественного транспорта;Остановка трамвая;Многоквартирные жилые дома;Одиночный торговый объект, являющийся местом притяжения транспорта и (или) пешеходов;Регулируемый пешеходный переход;;Не установлены;;;Сведения отсутствуют;;Ясно;;Сухое;Сумерки;Движение частично перекрыто;
;1;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;1997;DAEWOO Espero;Физические лица;;Наличие конструктивных изменений по сравнению с серийным ТС, сведения о которых отсутствуют в регистрационных документах;
7;29.06.2020;09:40;070;61.461618;55.136978;750019518;Столкновение;Ленинский(Ч) район;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Остановка общественного транспорта;Производственное предприятие;Административные здания;Регулируемый пешеходный переход;;Не установлены;;;Участок, контролируемый камерой автоматической фотовидеофиксации нарушений ПДД, обозначенный соответствующим предупреждающим знаком;;Ясно;;Сухое;Светлое время суток;Движение частично перекрыто;
7;29.06.2020;09:40;070;61.461618;55.136978;750019518;Столкновение;Ленинский(Ч) район;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Остановка общественного транспорта;Производственное предприятие;Административные здания;Регулируемый пешеходный переход;;Не установлены;;;Участок, контролируемый камерой автоматической фотовидеофиксации нарушений ПДД, обозначенный соответствующим предупреждающим знаком;;Ясно;;Сухое;Светлое время суток;Движение частично перекрыто;
;2;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2017;SKODA Rapid;Юридические лица, являющиеся коммерческими организациями;;Технические неисправности отсутствуют;
;2;2;7;29.06.2020;09:40;070;61.461618;55.136978;750019518;Столкновение;Ленинский(Ч) район;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Остановка общественного транспорта;Производственное предприятие;Административные здания;Регулируемый пешеходный переход;;Не установлены;;;Участок, контролируемый камерой автоматической фотовидеофиксации нарушений ПДД, обозначенный соответствующим предупреждающим знаком;;Ясно;;Сухое;Светлое время суток;Движение частично перекрыто;
;2;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2017;SKODA Rapid;Юридические лица, являющиеся коммерческими организациями;;Технические неисправности отсутствуют;
7;29.06.2020;09:40;070;61.461618;55.136978;750019518;Столкновение;Ленинский(Ч) район;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Остановка общественного транспорта;Производственное предприятие;Административные здания;Регулируемый пешеходный переход;;Не установлены;;;Участок, контролируемый камерой автоматической фотовидеофиксации нарушений ПДД, обозначенный соответствующим предупреждающим знаком;;Ясно;;Сухое;Светлое время суток;Движение частично перекрыто;
7;29.06.2020;09:40;070;61.461618;55.136978;750019518;Столкновение;Ленинский(Ч) район;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Остановка общественного транспорта;Производственное предприятие;Административные здания;Регулируемый пешеходный переход;;Не установлены;;;Участок, контролируемый камерой автоматической фотовидеофиксации нарушений ПДД, обозначенный соответствующим предупреждающим знаком;;Ясно;;Сухое;Светлое время суток;Движение частично перекрыто;
;2;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2017;SKODA Rapid;Юридические лица, являющиеся коммерческими организациями;;Технические неисправности отсутствуют;
;2;2;7;29.06.2020;09:40;070;61.461618;55.136978;750019518;Столкновение;Ленинский(Ч) район;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Остановка общественного транспорта;Производственное предприятие;Административные здания;Регулируемый пешеходный переход;;Не установлены;;;Участок, контролируемый камерой автоматической фотовидеофиксации нарушений ПДД, обозначенный соответствующим предупреждающим знаком;;Ясно;;Сухое;Светлое время суток;Движение частично перекрыто;
;2;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2017;SKODA Rapid;Юридические лица, являющиеся коммерческими организациями;;Технические неисправности отсутствуют;
;1;Осталось на месте ДТП;С задним приводом;Оснащённые специализированным оборудованием  автотранспортные средства для коммунального хозяйства и  содержания дорог;2019;КАМАЗ 6520;Юридические лица, являющиеся коммерческими организациями;;Технические неисправности отсутствуют;
;1;1;7;29.06.2020;09:40;070;61.461618;55.136978;750019518;Столкновение;Ленинский(Ч) район;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Остановка общественного транспорта;Производственное предприятие;Административные здания;Регулируемый пешеходный переход;;Не установлены;;;Участок, контролируемый камерой автоматической фотовидеофиксации нарушений ПДД, обозначенный соответствующим предупреждающим знаком;;Ясно;;Сухое;Светлое время суток;Движение частично перекрыто;
